  STN,YYYYMMDD,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH
#
  286,20181111,   63,   90,   13,   40,    2,  140,   13,  114,   87,   23
  286,20181112,   32,   40,    1,   20,   14,   60,    1,   93,   77,   22
  286,20181113,   61,  100,   12,   40,    1,  140,   12,   90,   64,   24
  286,20181114,   40,   50,    4,   30,   16,   80,   13,   78,   40,   24
  286,20181115,   33,   40,    3,   20,    2,   60,   17,   48,    7,    7
  286,20181116,   32,   60,   21,   10,    6,   90,   21,   38,    0,    8
  286,20181117,   49,   70,   10,   30,   23,   90,    9,   27,   -1,   24
  286,20181118,   41,   50,   14,   30,    1,   90,   22,   25,  -26,    7
  286,20181119,   78,  100,   12,   60,    1,  140,   11,   49,   26,   24
  310,20181101,   72,   90,    1,   60,    2,  120,   11,  116,   96,   24
  310,20181102,   48,   70,    3,   30,   17,  120,    2,   93,   73,   24
  310,20181103,   52,   60,   11,   40,    2,   80,   11,   80,   59,    9
  310,20181104,   55,   70,    5,   20,   12,   90,    5,   90,   65,    4
  310,20181105,   49,   70,    5,   30,   11,  100,    5,  105,   82,    7
  310,20181106,   58,   80,   20,   40,    3,  100,   20,  133,  112,    3
  310,20181107,  100,  130,   16,   80,    1,  170,   11,  115,  105,    6
  310,20181108,   60,   90,    3,   50,   11,  120,    3,  105,   84,    8
  310,20181109,   67,  100,   23,   40,    9,  130,   24,  106,   80,    8
  310,20181110,   93,  130,    3,   60,   15,  180,    3,  117,  107,   21
  310,20181111,   88,  120,    9,   40,   19,  160,    9,  116,  101,   22
  310,20181112,   58,   80,   20,   40,    6,  100,   20,  108,   99,   23
  310,20181113,   85,  110,   10,   60,   17,  140,    6,  107,   94,    8
  310,20181114,   56,   70,    4,   50,    1,  100,    2,  100,   78,    7
  310,20181115,   41,   50,    5,   20,   19,   80,    9,   94,   77,   19
  310,20181116,   36,   70,   17,   20,    8,   90,   17,   63,   37,   23
  310,20181117,   60,   80,    9,   10,    1,  120,   16,   60,   26,    2
  310,20181118,   66,   90,   22,   50,    6,  130,   20,   41,   12,    7
  310,20181119,   93,  110,   20,   80,    1,  160,   11,   54,   37,    1
  283,20181101,   27,   40,   22,   10,    8,   80,   23,   97,   50,    6
  283,20181102,   29,   50,    3,   10,   17,  100,    3,   75,    9,   23
  283,20181103,   15,   20,    9,   10,    1,   40,    9,   34,   -7,    4
  283,20181104,   18,   30,   13,   10,    5,   50,   14,   53,  -26,    8
  283,20181105,   16,   30,   12,    0,   16,   60,   13,   68,   23,    3
  283,20181106,   19,   30,   10,   10,    1,   50,   11,  104,   23,    3
  283,20181107,   34,   50,   12,   20,    1,  100,   17,  122,   86,    6
  283,20181108,   25,   40,    5,   10,   15,   80,    6,   85,   19,   21
  283,20181109,   26,   40,   12,   20,    4,   70,   11,   95,   46,    1
  283,20181110,   42,   70,    8,   30,    1,  140,    8,  125,  102,    1
  283,20181111,   43,   70,   11,   20,   20,  120,   12,  117,   94,   22
  283,20181112,   18,   20,    1,   10,    5,   50,   24,  102,   85,   23
  283,20181113,   37,   70,   14,   20,    1,  130,   11,   99,   68,   24
  283,20181114,   23,   40,   10,   10,   17,   60,   10,   69,   24,   20
  283,20181115,   18,   30,   11,   10,    4,   40,   10,   37,  -20,   24
  283,20181116,   20,   30,   12,   10,    1,   50,   12,   26,  -36,    3
  283,20181117,   36,   50,   11,   20,    1,   80,   11,   32,   -5,    4
  283,20181118,   34,   40,    2,   20,    5,   90,   15,   19,  -20,    5
  283,20181119,   57,   80,   23,   40,    1,  140,   23,   50,   32,   24
  280,20181101,   31,   40,    1,   20,   14,   70,   10,   96,   67,    4
  280,20181102,   38,   60,    2,   20,   17,   90,    3,   74,    7,   23
  280,20181103,   24,   40,   12,   10,    6,   70,   13,   46,   -8,    5
  280,20181104,   22,   30,   10,   10,    4,   60,   11,   55,  -11,    4
  280,20181105,   25,   40,   11,   10,   19,   70,    5,   92,   62,    1
  280,20181106,   22,   40,   19,   10,    4,   70,   20,  107,   54,    7
  280,20181107,   38,   60,   19,   10,    1,  110,   18,  118,   83,    3
  280,20181108,   33,   60,    9,   10,   17,  100,    9,   82,   11,   22
  280,20181109,   28,   40,    7,   20,    1,   70,   12,   83,   34,    1
  280,20181110,   48,   70,    9,   30,   17,  120,    9,  117,   93,    1
  280,20181111,   49,   80,   13,   30,    1,  130,   13,  112,   79,   23
  280,20181112,   25,   40,    1,   20,    3,   60,    1,   95,   82,   18
  280,20181113,   55,   90,   11,   30,    1,  150,   11,   90,   61,   22
  280,20181114,   33,   50,   12,   20,   16,   70,   10,   84,   41,   23
  280,20181115,   21,   30,   10,   10,    3,   50,   10,   49,    4,    7
  280,20181116,   25,   40,   24,   10,   11,   60,   21,   23,    0,    8
  280,20181117,   43,   50,   10,   30,    2,   90,   10,   29,    4,   24
  280,20181118,   40,   60,   22,   20,   16,  100,   22,   28,  -32,    5
  280,20181119,   70,   90,   11,   50,    1,  150,   13,   51,   29,   24
  273,20181101,   45,   60,    8,   40,    1,   90,    8,   99,   74,    3
  273,20181102,   30,   50,    1,   10,   20,  110,    3,   79,   28,   24
  273,20181103,   28,   40,   12,   20,    1,   70,   13,   52,   17,   24
  273,20181104,   30,   40,    9,   20,    4,   70,   10,   53,    6,    3
  273,20181105,   30,   50,   13,   20,    1,   80,   13,   74,   31,    1
  273,20181106,   33,   60,   12,   20,    1,   90,   12,  104,   50,    3
  273,20181107,   51,   70,   13,   30,    1,  110,   13,  117,   86,    7
  273,20181108,   38,   50,    1,   20,   15,   90,    2,   86,   26,   23
  273,20181109,   43,   60,   20,   20,    1,   90,   21,   88,   31,    1
  273,20181110,   57,   80,    6,   40,   15,  140,    7,  116,   93,    1
  273,20181111,   53,   70,   11,   30,   21,  120,   11,  113,   90,   23
  273,20181112,   31,   50,   23,   20,    5,   80,   24,   98,   86,    3
  273,20181113,   47,   70,    7,   20,   19,  130,   11,   95,   71,   24
  273,20181114,   36,   50,   12,   20,    1,   80,   12,   86,   52,   24
  273,20181115,   33,   40,    9,   20,   19,   60,    7,   55,   14,   24
  273,20181116,   30,   40,    6,   20,    1,   70,    9,   32,   -8,    7
  273,20181117,   48,   70,   11,   30,    1,  100,   10,   31,    4,    2
  273,20181118,   38,   50,   12,   20,    5,   80,   13,   26,  -17,    8
  273,20181119,   63,   90,   24,   40,    1,  150,   24,   49,   29,   21
  323,20181101,   45,   70,   24,   30,   16,  120,   23,  112,   90,    6
  323,20181102,   40,   60,    1,   20,   18,  100,    1,   77,   39,   24
  323,20181103,   32,   40,    1,   20,   17,   70,   11,   64,   36,    6
  323,20181104,   33,   40,    3,   30,    1,   70,    9,   75,   45,    8
  323,20181105,   31,   40,    2,   20,   22,   60,    2,   90,   63,    5
  323,20181106,   42,   50,   13,   30,    1,   90,   14,  137,   84,    1
  323,20181107,   61,   80,   14,   50,    1,  130,   11,  113,   99,    6
  323,20181108,   40,   60,    1,   20,   19,  100,    1,   95,   65,   21
  323,20181109,   42,   60,   21,   30,    1,  100,   22,   96,   66,    1
  323,20181110,   54,   80,    4,   30,   15,  130,    3,  115,   99,   21
  323,20181111,   58,   90,   11,   30,   21,  160,   10,  116,   97,   21
  323,20181112,   33,   50,   23,   20,    7,   70,   20,  105,   95,   23
  323,20181113,   55,   80,   11,   30,   24,  140,   10,  104,   88,   24
  323,20181114,   35,   40,    3,   30,    1,   70,    8,   89,   63,    7
  323,20181115,   28,   50,   13,   20,    4,   70,   13,   85,   49,   21
  323,20181116,   25,   40,   15,    0,   21,   80,   16,   54,    9,   23
  323,20181117,   55,   80,   23,   20,    2,  110,   20,   53,   16,    2
  323,20181118,   62,   90,   21,   50,    4,  140,   21,   36,    9,    6
  323,20181119,   87,  110,   24,   70,    1,  160,   14,   51,   33,    1
  249,20181101,   45,   60,   19,   30,   13,   90,   11,  101,   82,    3
  249,20181102,   36,   70,   11,   10,   17,  110,    2,   75,   32,   20
  249,20181103,   36,   50,   12,   30,    1,   90,   13,   60,   22,    4
  249,20181104,   34,   50,   18,   20,    5,   70,   18,   66,   28,    5
  249,20181105,   41,   60,   13,   20,   24,   90,   13,   78,   65,    7
  249,20181106,   38,   60,   16,   30,    1,   80,   16,  105,   67,    1
  249,20181107,   59,   90,   11,   30,    1,  130,   11,  109,   88,    7
  249,20181108,   40,   60,    7,   30,    8,   90,    6,   96,   67,   24
  249,20181109,   46,   60,   20,   30,   10,  100,   23,   90,   67,    1
  249,20181110,   61,   90,    6,   40,   17,  150,    6,  112,   90,   24
  249,20181111,   58,   80,   11,   30,   20,  130,   13,  109,   80,   21
  249,20181112,   35,   50,   24,   20,   10,   70,    6,   99,   82,    1
  249,20181113,   59,  100,   13,   30,   21,  150,   13,  101,   67,   22
  249,20181114,   37,   50,   10,   30,    4,   80,   12,   86,   56,   23
  249,20181115,   36,   40,    1,   30,    2,   70,    9,   75,   45,    4
  249,20181116,   33,   50,    7,   20,    6,   70,    7,   41,   16,   17
  249,20181117,   57,   70,    9,   40,    1,  120,   18,   46,   29,   24
  249,20181118,   54,   70,   12,   40,    8,  100,   12,   35,   -1,    8
